cocktail,ndrugs,dose,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,response,rlog
1,1,1,1,0,0,0,0,0,0,0,0,0,0.900666666666667,-0.104620049130103
1,1,2,1,0,0,0,0,0,0,0,0,0,0.804,-0.218156009803171
1,1,3,1,0,0,0,0,0,0,0,0,0,0.603083333333333,-0.50569989390401
1,1,4,1,0,0,0,0,0,0,0,0,0,0.407555555555556,-0.897578022942001
1,1,5,1,0,0,0,0,0,0,0,0,0,0.307805555555556,-1.17828700850192
1,1,6,1,0,0,0,0,0,0,0,0,0,0.27875,-1.27743995620781
1,1,7,1,0,0,0,0,0,0,0,0,0,0.199972222222222,-1.60957681096894
1,1,8,1,0,0,0,0,0,0,0,0,0,0.165694444444444,-1.79760988290623
1,1,9,1,0,0,0,0,0,0,0,0,0,0.142666666666667,-1.94724437206845
1,1,10,1,0,0,0,0,0,0,0,0,0,0.121388888888889,-2.10875592934861
1,1,11,1,0,0,0,0,0,0,0,0,0,0.094388888888889,-2.36033191520637
1,1,12,1,0,0,0,0,0,0,0,0,0,0.071147058823529,-2.64300629298827
1,1,13,1,0,0,0,0,0,0,0,0,0,0.060088235294118,-2.81194120878068
10,1,1,0,0,0,0,0,0,0,0,0,1,0.762282051282051,-0.271438645743199
10,1,2,0,0,0,0,0,0,0,0,0,1,0.603564102564103,-0.504903026083457
10,1,3,0,0,0,0,0,0,0,0,0,1,0.438128205128205,-0.82524370566351
10,1,4,0,0,0,0,0,0,0,0,0,1,0.384820512820513,-0.954978253865778
10,1,5,0,0,0,0,0,0,0,0,0,1,0.344615384615385,-1.06532631103464
10,1,6,0,0,0,0,0,0,0,0,0,1,0.301615384615385,-1.19860263415134
10,1,7,0,0,0,0,0,0,0,0,0,1,0.277641025641026,-1.28142627437759
10,1,8,0,0,0,0,0,0,0,0,0,1,0.235794871794872,-1.44479303922871
10,1,9,0,0,0,0,0,0,0,0,0,1,0.207128205128205,-1.57441732898843
10,1,10,0,0,0,0,0,0,0,0,0,1,0.178641025641026,-1.72237693008166
10,1,11,0,0,0,0,0,0,0,0,0,1,0.153589743589744,-1.87347023400229
10,1,12,0,0,0,0,0,0,0,0,0,1,0.142162162162162,-1.95078688589461
10,1,13,0,0,0,0,0,0,0,0,0,1,0.135837837837838,-1.99629347352282
2,1,1,0,1,0,0,0,0,0,0,0,0,0.541545454545455,-0.61332827415182
2,1,2,0,1,0,0,0,0,0,0,0,0,0.424212121212121,-0.857521662973792
2,1,3,0,1,0,0,0,0,0,0,0,0,0.365818181818182,-1.00561884000093
2,1,4,0,1,0,0,0,0,0,0,0,0,0.338,-1.08470938349912
2,1,5,0,1,0,0,0,0,0,0,0,0,0.297242424242424,-1.2132072298843
2,1,6,0,1,0,0,0,0,0,0,0,0,0.271484848484848,-1.30384894785104
2,1,7,0,1,0,0,0,0,0,0,0,0,0.254,-1.3704210119636
2,1,8,0,1,0,0,0,0,0,0,0,0,0.238272727272727,-1.4343393484571
2,1,9,0,1,0,0,0,0,0,0,0,0,0.225212121212121,-1.49071255995494
2,1,10,0,1,0,0,0,0,0,0,0,0,0.221030303030303,-1.50945546907999
2,1,11,0,1,0,0,0,0,0,0,0,0,0.212757575757576,-1.54760190343137
2,1,12,0,1,0,0,0,0,0,0,0,0,0.21458064516129,-1.53906964315447
2,1,13,0,1,0,0,0,0,0,0,0,0,0.218741935483871,-1.51986262078344
3,1,1,0,0,1,0,0,0,0,0,0,0,0.925952380952381,-0.076932470115712
3,1,2,0,0,1,0,0,0,0,0,0,0,0.864119047619048,-0.146044733073663
3,1,3,0,0,1,0,0,0,0,0,0,0,0.768095238095238,-0.263841545586306
3,1,4,0,0,1,0,0,0,0,0,0,0,0.6855,-0.377606779979768
3,1,5,0,0,1,0,0,0,0,0,0,0,0.553952380952381,-0.590676550888794
3,1,6,0,0,1,0,0,0,0,0,0,0,0.477785714285714,-0.738592943478988
3,1,7,0,0,1,0,0,0,0,0,0,0,0.414285714285714,-0.881199412062885
3,1,8,0,0,1,0,0,0,0,0,0,0,0.310547619047619,-1.16941802689522
3,1,9,0,0,1,0,0,0,0,0,0,0,0.32497619047619,-1.12400335940931
3,1,10,0,0,1,0,0,0,0,0,0,0,0.293904761904762,-1.22449950322251
3,1,11,0,0,1,0,0,0,0,0,0,0,0.263857142857143,-1.33234744783821
3,1,12,0,0,1,0,0,0,0,0,0,0,0.206825,-1.57588225390589
3,1,13,0,0,1,0,0,0,0,0,0,0,0.211975,-1.55128693579207
4,1,1,0,0,0,1,0,0,0,0,0,0,0.723926829268293,-0.323064956250343
4,1,2,0,0,0,1,0,0,0,0,0,0,0.547073170731707,-0.603172718172191
4,1,3,0,0,0,1,0,0,0,0,0,0,0.423292682926829,-0.859691417390558
4,1,4,0,0,0,1,0,0,0,0,0,0,0.343317073170732,-1.06910084724497
4,1,5,0,0,0,1,0,0,0,0,0,0,0.285170731707317,-1.25466721945531
4,1,6,0,0,0,1,0,0,0,0,0,0,0.252756097560976,-1.37533029650223
4,1,7,0,0,0,1,0,0,0,0,0,0,0.230170731707317,-1.46893393366511
