cocktail,ndrugs,dose,d1,d2,d3,d4,d5,d6,response,rlog
d1,1,1,1,0,0,0,0,0,0.77,-0.261364764134407
d2,1,1,0,1,0,0,0,0,0.82,-0.198450938723838
d3,1,1,0,0,1,0,0,0,0.77,-0.261364764134407
d4,1,1,0,0,0,1,0,0,0.73,-0.3147107448397
d5,1,1,0,0,0,0,1,0,0.68,-0.385662480811985
d6,1,1,0,0,0,0,0,1,0.72,-0.328504066972036
d1+d2,2,1,1,1,0,0,0,0,0.67,-0.400477566597125
d1+d3,2,1,1,0,1,0,0,0,0.58,-0.544727175441672
d1+d4,2,1,1,0,0,1,0,0,0.66,-0.415515443961666
d1+d5,2,1,1,0,0,0,1,0,0.66,-0.415515443961666
d1+d6,2,1,1,0,0,0,0,1,0.51,-0.673344553263766
d2+d3,2,1,0,1,1,0,0,0,0.73,-0.3147107448397
d2+d4,2,1,0,1,0,1,0,0,0.72,-0.328504066972036
d2+d5,2,1,0,1,0,0,1,0,0.74,-0.301105092783922
d2+d6,2,1,0,1,0,0,0,1,0.68,-0.385662480811985
d3+d4,2,1,0,0,1,1,0,0,0.41,-0.891598119283784
d3+d5,2,1,0,0,1,0,1,0,0.58,-0.544727175441672
d3+d6,2,1,0,0,1,0,0,1,0.64,-0.446287102628419
d4+d5,2,1,0,0,0,1,1,0,0.47,-0.755022584278033
d4+d6,2,1,0,0,0,1,0,1,0.78,-0.2484613592985
d5+d6,2,1,0,0,0,0,1,1,0.72,-0.328504066972036
d1+d2+d3,3,1,1,1,1,0,0,0,0.37,-0.994252273343867
d1+d2+d4,3,1,1,1,0,1,0,0,0.31,-1.17118298150295
d1+d2+d5,3,1,1,1,0,0,1,0,0.37,-0.994252273343867
d1+d2+d6,3,1,1,1,0,0,0,1,0.4,-0.916290731874155
d1+d3+d4,3,1,1,0,1,1,0,0,0.53,-0.63487827243597
d1+d3+d5,3,1,1,0,1,0,1,0,0.31,-1.17118298150295
d1+d3+d6,3,1,1,0,1,0,0,1,0.32,-1.13943428318836
d1+d4+d5,3,1,1,0,0,1,1,0,0.28,-1.27296567581289
d1+d4+d6,3,1,1,0,0,1,0,1,0.34,-1.07880966137193
d1+d5+d6,3,1,1,0,0,0,1,1,0.58,-0.544727175441672
d2+d3+d4,3,1,0,1,1,1,0,0,0.18,-1.71479842809193
d2+d3+d5,3,1,0,1,1,0,1,0,0.55,-0.59783700075562
d2+d3+d6,3,1,0,1,1,0,0,1,0.52,-0.653926467406664
d2+d4+d5,3,1,0,1,0,1,1,0,0.22,-1.51412773262978
d2+d4+d6,3,1,0,1,0,1,0,1,0.68,-0.385662480811985
d2+d5+d6,3,1,0,1,0,0,1,1,0.72,-0.328504066972036
d3+d4+d5,3,1,0,0,1,1,1,0,0.15,-1.89711998488588
d3+d4+d6,3,1,0,0,1,1,0,1,0.29,-1.23787435600162
d3+d5+d6,3,1,0,0,1,0,1,1,0.5,-0.693147180559945
d4+d5+d6,3,1,0,0,0,1,1,1,0.3,-1.20397280432594
d1+d2+d3+d4,4,1,1,1,1,1,0,0,0.14,-1.96611285637283
d1+d2+d3+d5,4,1,1,1,1,0,1,0,0.19,-1.66073120682165
d1+d2+d3+d6,4,1,1,1,1,0,0,1,0.1,-2.30258509299405
d1+d2+d4+d5,4,1,1,1,0,1,1,0,0.17,-1.77195684193188
d1+d2+d4+d6,4,1,1,1,0,1,0,1,0.15,-1.89711998488588
d1+d2+d5+d6,4,1,1,1,0,0,1,1,0.16,-1.83258146374831
d1+d3+d4+d5,4,1,1,0,1,1,1,0,0.16,-1.83258146374831
d1+d3+d4+d6,4,1,1,0,1,1,0,1,0.14,-1.96611285637283
d1+d3+d5+d6,4,1,1,0,1,0,1,1,0.25,-1.38629436111989
d1+d4+d5+d6,4,1,1,0,0,1,1,1,0.21,-1.56064774826467
d2+d3+d4+d5,4,1,0,1,1,1,1,0,0.1,-2.30258509299405
d2+d3+d4+d6,4,1,0,1,1,1,0,1,0.21,-1.56064774826467
d2+d3+d5+d6,4,1,0,1,1,0,1,1,0.55,-0.59783700075562
d2+d4+d5+d6,4,1,0,1,0,1,1,1,0.37,-0.994252273343867
d3+d4+d5+d6,4,1,0,0,1,1,1,1,0.11,-2.20727491318972
d1+d2+d3+d4+d5,5,1,1,1,1,1,1,0,0.22,-1.51412773262978
d1+d2+d3+d4+d6,5,1,1,1,1,1,0,1,0.27,-1.30933331998376
d1+d2+d3+d5+d6,5,1,1,1,1,0,1,1,0.43,-0.843970070294529
d1+d2+d4+d5+d6,5,1,1,1,0,1,1,1,0.26,-1.34707364796661
d1+d3+d4+d5+d6,5,1,1,0,1,1,1,1,0.17,-1.77195684193188
d2+d3+d4+d5+d6,5,1,0,1,1,1,1,1,0.2,-1.6094379124341
d1+d2+d3+d4+d5+d6,6,1,1,1,1,1,1,1,0.29,-1.23787435600162
